gene,n_tissue,tissue_1,tissue_2,tissue_3,tissue_4,tissue_5,tissue_6,indirect_association.diseaseId,indirect_association.score,direct_association.diseaseId,direct_association.score,indirect_association.disease,direct_association.disease,ensembl_ID
UQCR10,2,BAT,SKM-VL,"","","","",EFO_0000540,0.230326741373034,EFO_0000222,0.184518436035176,immune system disease: A disorder resulting from an abnormality in the immune system.,"acute myeloid leukemia: Acute myeloid leukemia (AML) is a group of neoplasms arising from precursor cells committed to the myeloid cell-line differentiation. All of them are characterized by clonal expansion of myeloid blasts. AML manifests by fever, pallor, anemia, hemorrhages and recurrent infections.",ENSG00000184076
ABCB9,2,BLOOD,SKM-VL,"","","","",EFO_0001444,0.227137745317988,EFO_0007800,0.196182332470733,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"body fat percentage: Quantification of the amount of body fat as a percentage of total body mass, calculated as either total mass of fat divided by total body mass or one of a number of more complex weighted equations. Body fat includes essential body fat and storage body fat. ",ENSG00000150967
MYL6,2,ADRNL,SPLEEN,"","","","",EFO_0000616,0.224256792569056,EFO_0000304,0.205196426681054,"neoplasm: A benign or malignant tissue growth resulting from uncontrolled cell proliferation. Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant cells exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia. Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias.",breast adenocarcinoma: A carcinoma that arises from glandular epithelial cells of the breast,ENSG00000092841
ATP6V1G2,2,HEART,SKM-VL,"","","","",OTAR_0000010,0.223789257368968,EFO_0000304,0.20632848242221,respiratory or thoracic disease: A disease affecting the respiratory system or other thoracic organs.,breast adenocarcinoma: A carcinoma that arises from glandular epithelial cells of the breast,ENSG00000213760
SIDT2,2,ADRNL,LUNG,"","","","",EFO_0001444,0.220565553060825,EFO_0004530,0.169041570467677,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"triglyceride measurement: A triglyceride  measurement is a quantification of triglycerides in some body fluid, used as a biomarker for cardiovascular disease.",ENSG00000149577
EDF1,2,BLOOD,COLON,"","","","",MONDO_0045024,0.21995190870866,EFO_0002618,0.17308644208405,"cancer or benign tumor: Any disorder that features disrupted cell proliferation. Includes hyperplasia, neoplastic syndrome and isolated neoplasm diseases as well as precancerous conditions.",pancreatic carcinoma: A carcinoma that arises from epithelial cells of the exocrine pancreas,ENSG00000107223
UBE2V1,2,BLOOD,COLON,"","","","",MONDO_0045024,0.219750299580371,EFO_0000349,0.184789927342351,"cancer or benign tumor: Any disorder that features disrupted cell proliferation. Includes hyperplasia, neoplastic syndrome and isolated neoplasm diseases as well as precancerous conditions.",clear cell renal carcinoma: A malignant epithelial neoplasm of the kidney characterized by the presence of lipid-containing clear cells within a vascular network. The tumor may metastasize to unusual sites and late metastasis is common.,ENSG00000244687
MTCH2,2,BAT,SKM-VL,"","","","",EFO_0001444,0.218546231388074,EFO_0007800,0.203603262755539,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"body fat percentage: Quantification of the amount of body fat as a percentage of total body mass, calculated as either total mass of fat divided by total body mass or one of a number of more complex weighted equations. Body fat includes essential body fat and storage body fat. ",ENSG00000109919
CDK2AP1,2,BLOOD,COLON,"","","","",EFO_0001444,0.218320601124297,EFO_0004784,0.203190314433316,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"self reported educational attainment: A measure of educational progress reported using a questionnaire based approach, often used as a proxy for cognitive performance as the two are correlated.",ENSG00000111328
ADIPOR1,2,BLOOD,SPLEEN,"","","","",OTAR_0000010,0.217228514536467,EFO_0000571,0.184789927342351,respiratory or thoracic disease: A disease affecting the respiratory system or other thoracic organs.,"lung adenocarcinoma: A carcinoma that arises from the lung and is characterized by the presence of malignant glandular epithelial cells. There is a male predilection with a male to female ratio of 2:1. Usually lung adenocarcinoma is asymptomatic and is identified through screening studies or as an incidental radiologic finding. If clinical symptoms are present they include shortness of breath, cough, hemoptysis, chest pain, and fever. Tobacco smoke is a known risk factor.",ENSG00000159346
ART5,2,SKM-GN,SKM-VL,"","","","",EFO_0001444,0.217193514897349,EFO_0009700,0.217193514897349,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,visual perception measurement: Quantification of some aspect of visual perception.,ENSG00000167311
SMPDL3B,2,COLON,SKM-VL,"","","","",EFO_0001444,0.213030135068821,EFO_0004305,0.163467600882214,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,erythrocyte count: The number of red blood cells per unit volume in a sample of venous blood.,ENSG00000130768
MYL12A,2,HEART,SKM-GN,"","","","",EFO_0001444,0.212528558848848,EFO_0005055,0.186152665294256,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"QRS duration: QRS duration is a measurement of the combined duration of the Q, R and S waves of the human heart's electric cycle",ENSG00000101608
EIF3J,2,BLOOD,HEART,"","","","",EFO_0000616,0.21102552342284,Orphanet_139578,0.160972558929337,"neoplasm: A benign or malignant tissue growth resulting from uncontrolled cell proliferation. Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant cells exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia. Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias.",Hereditary sensory and autonomic neuropathy with spastic paraplegia: This syndrome is characterized by the association of an axonal sensory and autonomic neuropathy with spastic paraplegia.,ENSG00000104131
SORT1,2,COLON,LUNG,"","","","",EFO_0001444,0.207429888990284,EFO_0004980,0.175414492337169,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,appendicular lean mass: Appendicular lean mass is a measurement of skeletal strength of lower limbs and is used as a predictive measure of hip fracture.,ENSG00000134243
RANGRF,2,SKM-GN,SKM-VL,"","","","",EFO_0000319,0.207218738900701,EFO_0004269,0.205800445815149,cardiovascular disease: A disease involving the cardiovascular system.,"cardiac arrhythmia: Any disturbances of the normal rhythmic beating of the heart or MYOCARDIAL CONTRACTION. Cardiac arrhythmias can be classified by the abnormalities in HEART RATE, disorders of electrical impulse generation, or impulse conduction.",ENSG00000108961
ABHD4,2,BAT,BLOOD,"","","","",EFO_0000616,0.203134872500076,EFO_0000304,0.180237069518078,"neoplasm: A benign or malignant tissue growth resulting from uncontrolled cell proliferation. Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant cells exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia. Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias.",breast adenocarcinoma: A carcinoma that arises from glandular epithelial cells of the breast,ENSG00000100439
CS,2,BAT,SKM-VL,"","","","",EFO_0001444,0.196755917672742,EFO_0004339,0.182402905085938,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,body height: The distance from the sole to the crown of the head with body standing on a flat surface and fully extended.,ENSG00000062485
SEL1L3,2,ADRNL,SKM-GN,"","","","",EFO_0001444,0.195670661585584,EFO_0010750,0.146906640557612,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"PHF-tau measurement: Quantification of amount of tau, in the form of paired helical filaments, in a sample",ENSG00000091490
AADAC,2,KIDNEY,LIVER,"","","","",EFO_0001444,0.195329665043056,EFO_0000519,0.156918170483722,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"glioblastoma multiforme: The most malignant astrocytic tumor (WHO grade IV). It is composed of poorly differentiated neoplastic astrocytes and it is characterized by the presence of cellular polymorphism, nuclear atypia, brisk mitotic activity, vascular thrombosis, microvascular proliferation and necrosis. It typically affects adults and is preferentially located in the cerebral hemispheres. It may develop from diffuse astrocytoma WHO grade II or anaplastic astrocytoma (secondary glioblastoma, IDH-mutant), but more frequently, it manifests after a short clinical history de novo, without evidence of a less malignant precursor lesion (primary glioblastoma, IDH- wildtype). (Adapted from WHO)",ENSG00000114771
GABARAPL2,2,BAT,BLOOD,"","","","",EFO_0001444,0.190913819334561,EFO_0009749,0.154231186326862,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,age at first sexual intercourse measurement: A measurement of the age at which a person has the first sexual intercourse.,ENSG00000034713
FNDC5,2,BAT,SKM-VL,"","","","",EFO_0001444,0.190844487992193,EFO_0004338,0.131929623264891,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,body weight: The mass or quantity of heaviness of an individual. It is expressed by units of pounds or kilograms.,ENSG00000160097
